time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349803279284073,"seq: 95
stamp: 
  secs: 1644349803
  nsecs: 278620004
frame_id: ''",42.3440016,-71.08373,15.3,328359.4374650955,4690074.282460125,19,T
1644349804321839570,"seq: 96
stamp: 
  secs: 1644349804
  nsecs: 320147752
frame_id: ''",42.34401,-71.08372,15.3,328360.2840767016,4690075.195028637,19,T
1644349805279779150,"seq: 97
stamp: 
  secs: 1644349805
  nsecs: 278727054
frame_id: ''",42.34402,-71.08371,15.1,328361.1350422668,4690076.285265179,19,T
1644349806280388854,"seq: 98
stamp: 
  secs: 1644349806
  nsecs: 279186248
frame_id: ''",42.34403,-71.0837,15.0,328361.98600757314,4690077.37550182,19,T
1644349807587665822,"seq: 99
stamp: 
  secs: 1644349807
  nsecs: 586495399
frame_id: ''",42.3440399,-71.083688,14.9,328363.00145080546,4690078.450596753,19,T
1644349808282452578,"seq: 100
stamp: 
  secs: 1644349808
  nsecs: 279314279
frame_id: ''",42.34405,-71.083678,14.8,328363.8526877054,4690079.551937853,19,T
1644349809281438184,"seq: 101
stamp: 
  secs: 1644349809
  nsecs: 278724908
frame_id: ''",42.34406,-71.083668,14.5,328364.7036522154,4690080.6421748055,19,T
1644349810281763656,"seq: 102
stamp: 
  secs: 1644349810
  nsecs: 279439210
frame_id: ''",42.3440699,-71.083658,14.4,328365.5543443414,4690081.721307608,19,T
1644349811279852187,"seq: 103
stamp: 
  secs: 1644349811
  nsecs: 278117418
frame_id: ''",42.34408,-71.083648,14.4,328366.40558046947,4690082.822649001,19,T
1644349812280280043,"seq: 104
stamp: 
  secs: 1644349812
  nsecs: 278541564
frame_id: ''",42.3440883,-71.083635,14.5,328367.4990433332,4690083.7180578755,19,T
1644349813311574638,"seq: 105
stamp: 
  secs: 1644349813
  nsecs: 310802459
frame_id: ''",42.3440966,-71.083623,14.5,328368.51013083616,4690084.615485628,19,T
1644349814278521634,"seq: 106
stamp: 
  secs: 1644349814
  nsecs: 276771545
frame_id: ''",42.3441066,-71.083613,14.5,328369.3610940418,4690085.705723115,19,T
1644349815278598882,"seq: 107
stamp: 
  secs: 1644349815
  nsecs: 277117013
frame_id: ''",42.3441166,-71.083603,14.4,328370.2120569907,4690086.7959607,19,T
1644349816277265141,"seq: 108
stamp: 
  secs: 1644349816
  nsecs: 276152372
frame_id: ''",42.344125,-71.083591,14.4,328371.22341583384,4690087.704493072,19,T
1644349817278711358,"seq: 109
stamp: 
  secs: 1644349817
  nsecs: 277150869
frame_id: ''",42.344135,-71.08358,14.4,328372.1567532943,4690088.792712193,19,T
1644349818278159791,"seq: 110
stamp: 
  secs: 1644349818
  nsecs: 276823043
frame_id: ''",42.3441433,-71.083566,14.5,328373.33258952736,4690089.686103265,19,T
1644349819278928933,"seq: 111
stamp: 
  secs: 1644349819
  nsecs: 276198625
frame_id: ''",42.3441533,-71.083558,14.8,328374.01880138274,4690090.780378609,19,T
